Company,Brief Description,Detailed Description,Founded Year,HQ Address,Email ID,Contact Detail,website address,LinkedIn Page Link,Twitter Page Link,Total Number of Investments,Preferred Sectors,Average Cheque Size,Average Round Size,Lead or Co-Investor Preference,Most Recent Investment,Guidance for Founders,Evaluation Criteria,PNG Address of the logo,Guidance for Founders
021 CAPITAL,"021 Capital is an early-stage venture capital firm backed by Flipkart founder Binny Bansal, focusing on technology and biotechnology startups in India.","021 Capital was founded by Sailesh Tulshan with backing from Binny Bansal (Flipkart co-founder) and other prominent entrepreneurs. The fund focuses on Indian startups building transformative solutions across technology, healthcare, and biotechnology sectors. The firm provides capital, strategic guidance, and access to a network of successful entrepreneurs and industry experts.",2017,"Bangalore, Bangalore, Karnataka 560095, IN",info@021.capital,Contact form available on website,https://www.021cap.com,https://www.linkedin.com/company/021-capital/, NA,15+,"(Sector Agnostic) SAAS, EdTech, Fintech, Tech enablement, and Retail tech",$1 M to $6 M,$1-5 million (USD),Both lead and co-investor roles,"Invento Robotics (January 2024, Series A round)",Founders can reach out via the contact form on the website. The firm looks for entrepreneurs building innovative solutions with potential for significant impact and scale.,,,
100UNICORNS ACCELERATOR FUND,100Unicorns is an early-stage venture fund and accelerator program focusing on pre-seed and seed-stage technology startups.,"100Unicorns was founded by Sanjay Mehta and focuses on investing in and accelerating early-stage technology startups. The fund aims to identify and nurture potential unicorns in their early stages. The accelerator program provides mentorship, resources, and capital to help startups scale rapidly.",2021,"509, Crescent Business Park, Sakinaka, Andheri East, Mumbai, Maharashtra 400072",hello@100unicorns.vc,-28579027,https://www.100unicorns.vc/,https://www.linkedin.com/company/100unicorns/,https://twitter.com/100unicornsvc,~50 investments,"(Sector Agnostic) Fintech, SaaS, AI/ML, Web3, Healthtech, Edtech, D2C, Agritech",$250K - $3M ,$500K-$1.5 million,Both lead and co-investor,Dodo Payments  (Feb 25),Apply through the website's application form. The fund runs regular pitch sessions and accelerator cohorts.,,,
100X ENTREPRENEUR (Neon Fund),100X Entrepreneur is an early-stage investment firm and platform focused on identifying and supporting high-potential Indian startups.,"100X Entrepreneur, founded by Siddhartha Ahluwalia and Nansi Mishra, combines an investment fund with a dedicated platform for entrepreneur education and networking. The firm runs a popular podcast featuring successful founders and investors, creating a knowledge repository for the startup ecosystem. Their investment approach centers on backing exceptional founders with unique insights and strong execution capabilities in high-growth sectors.",2019,"91springboard, Koramangala, Bengaluru, Karnataka 560034, India",team@100xentrepreneur.com,NA (Contact primarily through website form),https://www.100xentrepreneur.com/,https://www.linkedin.com/company/100xentrepreneur/,https://twitter.com/100xEntrepreneur,25+ investments,"(B2B SaaS Focus)Developer tools, Developer Infrastructure, Horizontal SaaS, Vertical Saas","$100,000 - $500,000","$300,000 - $1 million","Typically co-investor, partners with larger VCs for follow-on rounds",Nektar.ai (2024),"100X Entrepreneur accepts applications through their website portal. They emphasize the importance of clarity in problem statement, solution differentiation, and founder-market fit. The firm also encourages founders to listen to their podcast for insights into what they value in potential investments.",,,
100X.VC,100X.VC is India's first venture capital firm to invest using India SAFE Notes (iSAFE) in early-stage startups across sectors.,"Founded by Sanjay Mehta, 100X.VC focuses on investing in early-stage startups across sectors using iSAFE Notes (India Simple Agreement for Future Equity). The firm runs cohort-based programs where selected startups receive funding, mentorship, and business development support. 100X.VC aims to fund 100 startups annually and has established a strong network of co-investors and follow-on investors. The firm also provides educational resources for entrepreneurs through its VC School and organizes regular pitching events (VC Pitch Day) to connect portfolio companies with potential investors.",2019,"1SpringBoard, Godrej & Boyce, Gate, 2, Lal Bahadur Shastri Marg, Godrej & Boyce Industry Estate, Vikhroli West, Mumbai, Maharashtra 400079",hello@100x.vc,NA,https://www.100x.vc,https://www.linkedin.com/company/100x-vc,https://twitter.com/100xvc,180+,"Sector-agnostic with focus on Technology, Consumer, Healthcare, B2B, Fintech, Edtech","₹25 lakhs - ₹1.25 crore ($30,000 - $150,000)","₹50 lakhs - ₹2 crore ($60,000 - $250,000)",Lead investor at pre-seed/seed stage,"Feb 06, 2025 | PlaySuper | India | Stage -Seed | Amount invested - $500K","Founders can apply to 100X.VC's cohort programs through their website. They have quarterly application cycles and select startups based on team, product, and market potential.",,,
1947 RISE,"1947 Rise is a venture capital firm focused exclusively on the Indian market, investing in early-stage startups across technology and consumer sectors.","1947 Rise is a venture capital firm founded with the mission of backing ambitious Indian entrepreneurs building innovative solutions for both Indian and global markets. The firm focuses on early-stage investments across technology and consumer sectors, with a particular emphasis on startups leveraging India's unique market dynamics and talent pool. 1947 Rise provides not only capital but also strategic guidance, operational support, and access to a network of industry experts, potential customers, and follow-on investors.",2020,"10th Floor, Tower A, DLF Cyber City, Phase III, Gurugram, Haryana 122002, India",connect@1947rise.com,-11292,https://www.1947rise.com,https://www.linkedin.com/company/1947-rise/,https://twitter.com/1947Rise,16,"(Sector Agnostic) Consumer Internet, FinTech, SaaS, D2C Brands, EdTech",$100k - $150k,$1 million - $5 million,Typically lead investor in seed rounds,"ShopDaily (E-commerce platform), March 2024, Amount: $1.5 million","Founders can apply through the online application form on their website. They recommend including a concise pitch deck, demonstration of initial market validation, and clear vision for scaling the business. Response time is typically 2-3 weeks.",,,
1CROWD,1Crowd is an equity crowdfunding platform and early-stage investment firm connecting startups with investors.,"1Crowd is an equity crowdfunding platform and early-stage investment firm that connects startups with a curated community of investors. The platform provides end-to-end support for startups including fundraising, mentoring, and networking opportunities. 1Crowd also manages a seed fund that co-invests alongside its angel network.",2015,"601, 6th floor, Keshava Building, near Family Court, E Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",info@1crowd.co, 022 2659 4941,https://www.1crowd.co,https://www.linkedin.com/company/1crowd,https://twitter.com/1Crowd_co,~ 40+,"DeepTech, FinTech, HealthTech, AgriTech, Enterprise Software (Sector Agnostic)",INR 3-4 crore,$1-3 million,Typically co-investor with capability to lead,"Mar 10, 2025        
goStops (SERIES A)","Founders can apply through the 1Crowd platform. They need to submit a comprehensive business plan, financial projections, and team details for evaluation.",,,
2 AM VENTURES,2AM Ventures is an early-stage venture capital firm focused on investing in technology companies in India.,"2AM Ventures is an early-stage venture capital firm that partners with founders building technology companies from India for the world. The firm invests in pre-seed and seed rounds and supports founders building for global markets across various sectors including SaaS, developer tools, AI, and consumer tech. They aim to be the first institutional check and actively help portfolio companies with product development, go-to-market strategies, and follow-on fundraising.",2021,"Bengaluru, Karnataka, India",pitch@2amvc.com,Not publicly available,https://www.2amvc.com/,https://www.linkedin.com/company/2-a-m-ventures/,https://x.com/2amvc?lang=bg,25+,Sector Agnostic,$100K - $500K,$500K - $2M,Both lead and co-investor,"Mar 24, 2025
Apna Mart
India
Conventional Debt","Founders can reach out through their website submission form or direct email to team@2am.vc. They prefer companies with strong technical teams, unique insights, and global market potential.",,,
35NORTH VENTURES,35North Ventures is a venture capital firm focused on early-stage technology startups building innovative solutions for the Indian market and beyond.,"35North Ventures invests in seed and Series A stage companies with transformative potential. The firm seeks entrepreneurs developing technology-enabled solutions that address large market opportunities across sectors including fintech, healthtech, enterprise software, and consumer internet. 35North adopts a founder-centric approach, providing strategic guidance, operational expertise, and access to a global network of industry experts to help startups navigate early growth challenges.",2019,"Level 7, B-Wing, The Capital, Bandra Kurla Complex (BKC), Bandra East, Mumbai - East 400051, India",contactus@35northventures.com,+91 22 49054292,https://www.35northventures.com,https://www.linkedin.com/company/35northventures/,NA,14,"Fintech, Healthtech, Enterprise SaaS, Consumer Technology, Mobility, Cleantech (Sector Agnostic)",INR  5 - 10 crore,$2 million - $8 million,Primarily lead investor in seed rounds; mix of lead and co-investor in Series A,"Sep 02, 2024 | GlobalCare Health | India | Stage -Series A | Amount invested - $3M","35North welcomes submissions through their website's application form. They recommend including a detailed pitch deck with clear articulation of the problem being solved, solution differentiation, market opportunity, traction metrics, and team background.",,,
3I PARTNERS (IMPACT INDIA INVESTMENT PARTNERS),3i Partners (Impact India Investment Partners) is an impact-focused venture capital firm that invests in early-stage startups addressing critical social and environmental challenges in India.,"3i Partners, also known as Impact India Investment Partners, is an impact-first investment firm that focuses on early-stage companies creating positive social and environmental impact while delivering competitive financial returns. The firm invests across sectors including healthcare, education, financial inclusion, clean energy, and sustainable agriculture. With a strong emphasis on measurable impact metrics alongside financial performance, 3i Partners brings together a team of experienced professionals from both the investment and development sectors. The firm typically provides hands-on support to portfolio companies in areas such as impact measurement, governance, and scaling operations.",2015,HQ - California,info@3ipartners.net,+1 408-510-2310,https://www.3ipartners.vc/,https://www.linkedin.com/company/3i-partners-india/,https://x.com/partners_3i,7,"Tech Bio, Climate Tech, and Frontier Tech, disruptive tech in specific verticals like health, climate, and manufacturing",$150k to $1 million,$1 million - $5 million,"Flexible approach, both leading and co-investing","Sep 10, 2024
Exposome
India
Seed
$1.19M",Founders can submit their business plans through the online application form on the website. 3i Partners looks for ventures that demonstrate both impact potential and financial viability. They emphasize the importance of clearly defining and measuring impact alongside business metrics.,,,
3LINES,3Lines is a US-based venture capital firm with significant focus on Indian technology startups.,"3Lines invests in early-stage technology companies with disruptive business models across India and the US. The firm focuses particularly on B2B technology solutions and enterprise software, providing not only capital but also strategic guidance and US market access to its Indian portfolio companies.",2016,"65, Institutional Area, Sector 32, Gurgaon, Haryana 122018, India","info@3lines.vc
",NA,https://www.3lines.vc,https://www.linkedin.com/company/3lines-venture-capital/,https://twitter.com/threelinesus,28,Sector agnostic with investsment focus in companies with AI and disruptive software technology at their core and vectored along Future of work; Future of enterprise; Future of Industry.,$1M - $5M,"$500,000 - $3 million",Primarily co-investor with occasional lead positions,"Jan 29, 2024 | Arzooo | India | Stage -Series B | Amount invested - $84K","3Lines accepts direct applications through their website submission form. They look for companies with initial traction and product-market fit, particularly solutions with US market potential.",,,
